ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO23N000000121,"안녕, 나의 책방",북카페,일반서적,37731,경북 포항시 남구 송림로 84 1층(송도동),36.0372234005348,129.374842110912,10:00,19:00,10:00,19:00,,,,,일요일,050713860349,,
KCCBSPO23N000000122,언덕위에책밭,북카페,일반서적,25527,강원 강릉시 발락고개길 38 2층,37.7542634743197,128.88427607202,,,10:00,19:00,10:00,19:00,,,,050713670321,책밭지기가 소장하고 있는 다양한 분야의 책들로 만들어진 도서관형 북카페로 도서 판매도 함께 하고 있습니다.,
KCCBSPO23N000000123,햅칠탐,북카페,일반서적,24904,강원 속초시 상도문길 7,38.1647282697697,128.55634950106,11:00,18:00,11:00,18:00,11:00,18:00,,,수요일,,"커피, 와인, 그리고 책을 판매하는 칠링 스페이스.한 템포 쉬어가고 싶은 이들에게 차분하고 평화로운 순간을 선물합니다.여유롭고 차분한 분위기 속에서 삶의 작은 행복을 발견하며 편안한 시간을 즐기셨으면 하는 바램입니다.",
KCCBSPO23N000000124,넉점반그림책방,북카페,그림서적,35007,대전 중구 보문산로227번안길 50 넉점반그림책방,36.306662131854,127.402870311118,12:00,20:00,12:00,20:00,12:00,20:00,,,,050714475131,,
KCCBSPO23N000000125,그레이스힐링북카페 지역서점,북카페,일반서적,12798,경기 광주시 양벌로353번길 17-18 플로레 103동 1층 102호,37.3672166620603,127.24745878984,11:00,18:00,11:00,17:00,13:00,17:00,,,,050713675428,,
KCCBSPO23N000000126,감마책방,북카페,일반서적,11444,경기 양주시 평화로1466번길 16 1층,37.8208164104371,127.049265186863,7:00,0:00,7:00,0:00,7:00,0:00,,,,,무인 책방.나만의 아지트에서 힐링의 시간을 보내시길,
KCCBSPO23N000000127,지금책방,북카페,일반서적,37881,경북 포항시 남구 오천읍 남원로 86-20 1층 지금책방,35.9713884621326,129.400820837869,13:00,20:00,13:00,20:00,,,,,일요일,050713135063,,
KCCBSPO23N000000128,북카페 책 읽어주는 남자,북카페,일반서적,50620,경남 양산시 양주3길 59 1층,35.3425010896166,129.030184604032,10:30,21:00,10:30,21:00,,,,,일요일,050714787750,,
KCCBSPO23N000000129,북눅 순라,북카페,일반서적,03128,서울 종로구 창경궁로 124 2층,37.5735205080168,126.997801302743,6:00,0:00,6:00,24:00:00,6:00,0:00,,,,050714651626,"누구에게도 방해받지 않고글, 그리고 나에게 집중할 수 있는북눅에 여러분을 초대합니다.",
KCCBSPO23N000000130,카페 동네+독립서점달팽이,북카페,일반서적,34165,대전 유성구 유성대로783번길 25 1층카페동네,36.3627401384074,127.335516924305,10:00,22:00,10:30,21:00,10:30,21:00,,,,050713835572,,
KCCBSPO23N000000131,북스북스,북카페,만화책,25510,강원도 강릉시 솔올로 66 문화빌딩 2층,37.7677497797362,128.878982542856,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,0336517277,만화카페,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000132,북스북스,북카페,만화책,25510,강원도 강릉시 솔올로 66 문화빌딩 2층,37.7677497797362,128.878982542856,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,0336517277,만화카페,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000133,서점 북미,북카페,예술서적,38140,경북 경주시 북성로 103-1 2층,35.8474536185692,129.213157748594,12:00,19:00,12:00,19:00,12:00,19:00,,,월요일,050713317840,영화 관련 전문 서점 <BookMe>입니다.경주 읍성 뷰를 보며 모카포트 커피 및 음료를 즐길 수 있는 조용하고 편안한 서점입니다.,
KCCBSPO23N000000134,노블앤오블북스,북카페,일반서적,51744,경남 창원시 마산합포구 해안대로 7,35.1807900859959,128.559752350494,,,,,,,,,,,,
KCCBSPO23N000000135,언어의 정원,북카페,일반서적,52731,경남 진주시 초전북로39번길 5-2 1층 언어의 정원,35.2086736247603,128.111032634466,12:00,20:00,11:00,20:00,11:00,20:00,,,월요일,050714453730,귀여운 아기 강아지가 있어요!,
KCCBSPO23N000000136,책방바라타리아,북카페,일반서적,24241,강원 춘천시 당간지주길74번길 5,37.8919522729637,127.723894397382,11:00,19:00,11:00,19:00,11:00,19:00,,,화요일,050713253180,"춘천 근화동에 위치한 낭만적인 서점 & 카페- '책' 또는 '음료' 주문 <필수>- 휴무일: 화요일 - 10세 이상 이용 가능- 제로페이, 지역상품권 가능, 문화누리카드(책) 가능- 바로대출 서비스 가능 - 음료 테이크아웃 가능- 애완동물 출입 제한- 무료주차장 안내: 선거관리위원회 주차장, 봄내영화촬영소 옆 무료주차공간, 춘천자전거 건너편 공영주차장 이용",
KCCBSPO23N000000137,고메북스,독립서점,북카페,10379,경기도 고양시 일산서구 중앙로 1470 동부썬프라자 B동 128호,37.6722283,126.67575083,12:00,19:00,12:00,19:00,,,,,일요일,050713368305,동네서점 독립출판 북카페&바,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 독립출판물 : 있음, 북토크 : 가능, 독서모임 : 가능, 강연 : 가능"
KCCBSPO23N000000138,낯가리는 책방,독립서점,북카페,59743,전라남도 여수시 공화남1길 11 1층 왼쪽,34.7451968,127.77438677,12:00,18:00,12:00,18:00,12:00,18:00,,,수요일 휴무,050713756548,"시,소설,에세이를 취급하고 있는 마을책방입니다. 커피와 음료도 드실 수 있습니다.","주차 가능, 화장실 남녀 구분, 카페 있음, 리뷰 있음"
KCCBSPO23N000000139,보틀북스,독립서점,북카페,52859,경상남도 진주시 범골로60번길 7 상가동 1층 B호,35.1704024,128.81317127,0:00,23:59,0:00,23:59,0:00,23:59,,,코로나19로 인한 장기휴점,050713221926,책과 따뜻한 커피를 즐길 수 있는 문학살롱,"카페 : 있음, 리뷰여부 : 있음"
